"VCF0702","VCF0101","VCF0110","VCF0114","VCF0301","VCF0310","VCF0009z","vote","age","education","income","party_id","interest","weight"
2,27,2,4,1,3,1,1,27,"HighSchool",4,"StrongDem",3,1
1,22,2,3,3,2,1,0,22,"HighSchool",3,"IndLeanDem",2,1
2,40,4,4,1,3,1,1,40,"CollegePlus",4,"StrongDem",3,1
1,31,2,4,3,2,1,0,31,"HighSchool",4,"IndLeanDem",2,1
1,28,1,4,1,3,1,0,28,"LessHS",4,"StrongDem",3,1
2,22,2,4,1,0,1,1,22,"HighSchool",4,"StrongDem",0,1
1,61,1,1,1,3,1,0,61,"LessHS",1,"StrongDem",3,1
2,54,2,1,7,3,1,1,54,"HighSchool",1,"StrongRep",3,1
1,74,1,1,1,2,1,0,74,"LessHS",1,"StrongDem",2,1
2,37,3,3,2,3,1,1,37,"SomeCollege",3,"WeakDem",3,1
2,83,1,1,7,3,1,1,83,"LessHS",1,"StrongRep",3,1
2,52,1,4,2,2,1,1,52,"LessHS",4,"WeakDem",2,1
2,42,2,3,2,2,1,1,42,"HighSchool",3,"WeakDem",2,1
2,27,2,3,3,3,1,1,27,"HighSchool",3,"IndLeanDem",3,1
1,31,2,4,2,2,1,0,31,"HighSchool",4,"WeakDem",2,1
2,47,1,3,2,1,1,1,47,"LessHS",3,"WeakDem",1,1
2,57,2,4,7,3,1,1,57,"HighSchool",4,"StrongRep",3,1
2,32,3,4,2,3,1,1,32,"SomeCollege",4,"WeakDem",3,1
2,53,2,4,1,3,1,1,53,"HighSchool",4,"StrongDem",3,1
2,26,2,3,5,3,1,1,26,"HighSchool",3,"IndLeanRep",3,1
2,46,1,2,1,2,1,1,46,"LessHS",2,"StrongDem",2,1
2,70,4,3,2,3,1,1,70,"CollegePlus",3,"WeakDem",3,1
1,49,1,3,6,3,1,0,49,"LessHS",3,"WeakRep",3,1
2,74,3,1,1,2,1,1,74,"SomeCollege",1,"StrongDem",2,1
1,28,1,3,3,1,1,0,28,"LessHS",3,"IndLeanDem",1,1
2,73,1,1,7,3,1,1,73,"LessHS",1,"StrongRep",3,1
2,58,2,2,6,2,1,1,58,"HighSchool",2,"WeakRep",2,1
1,75,1,1,2,1,1,0,75,"LessHS",1,"WeakDem",1,1
2,24,2,2,2,1,1,1,24,"HighSchool",2,"WeakDem",1,1
2,74,1,1,1,3,1,1,74,"LessHS",1,"StrongDem",3,1
2,0,1,3,1,3,1,1,0,"LessHS",3,"StrongDem",3,1
2,28,4,4,7,3,1,1,28,"CollegePlus",4,"StrongRep",3,1
2,27,2,3,2,3,1,1,27,"HighSchool",3,"WeakDem",3,1
2,45,2,4,3,3,1,1,45,"HighSchool",4,"IndLeanDem",3,1
2,45,4,4,3,3,1,1,45,"CollegePlus",4,"IndLeanDem",3,1
2,41,2,2,6,3,1,1,41,"HighSchool",2,"WeakRep",3,1
2,75,2,4,2,3,1,1,75,"HighSchool",4,"WeakDem",3,1
2,38,1,2,6,1,1,1,38,"LessHS",2,"WeakRep",1,1
1,72,1,2,1,3,1,0,72,"LessHS",2,"StrongDem",3,1
2,37,1,1,2,1,1,1,37,"LessHS",1,"WeakDem",1,1
2,53,1,5,6,2,1,1,53,"LessHS",5,"WeakRep",2,1
1,52,1,2,1,3,1,0,52,"LessHS",2,"StrongDem",3,1
2,66,1,2,5,2,1,1,66,"LessHS",2,"IndLeanRep",2,1
2,59,4,4,6,3,1,1,59,"CollegePlus",4,"WeakRep",3,1
1,50,1,1,2,2,1,0,50,"LessHS",1,"WeakDem",2,1
2,31,2,5,1,3,1,1,31,"HighSchool",5,"StrongDem",3,1
2,36,3,2,1,2,1,1,36,"SomeCollege",2,"StrongDem",2,1
2,56,2,3,2,1,1,1,56,"HighSchool",3,"WeakDem",1,1
2,53,2,2,1,3,1,1,53,"HighSchool",2,"StrongDem",3,1
2,58,1,5,4,3,1,1,58,"LessHS",5,"Independent",3,1
2,23,2,4,6,3,1,1,23,"HighSchool",4,"WeakRep",3,1
2,40,1,4,1,1,1,1,40,"LessHS",4,"StrongDem",1,1
1,41,2,2,2,1,1,0,41,"HighSchool",2,"WeakDem",1,1
2,29,2,3,1,2,1,1,29,"HighSchool",3,"StrongDem",2,1
2,42,4,3,2,2,1,1,42,"CollegePlus",3,"WeakDem",2,1
2,81,2,2,7,2,1,1,81,"HighSchool",2,"StrongRep",2,1
1,54,2,4,3,2,1,0,54,"HighSchool",4,"IndLeanDem",2,1
2,85,1,1,6,1,1,1,85,"LessHS",1,"WeakRep",1,1
2,66,1,1,3,2,1,1,66,"LessHS",1,"IndLeanDem",2,1
2,52,2,4,1,3,1,1,52,"HighSchool",4,"StrongDem",3,1
1,84,1,4,2,1,1,0,84,"LessHS",4,"WeakDem",1,1
2,34,2,4,2,2,1,1,34,"HighSchool",4,"WeakDem",2,1
2,48,1,5,3,2,1,1,48,"LessHS",5,"IndLeanDem",2,1
1,71,1,1,6,1,1,0,71,"LessHS",1,"WeakRep",1,1
2,39,2,2,7,3,1,1,39,"HighSchool",2,"StrongRep",3,1
1,24,1,2,2,2,1,0,24,"LessHS",2,"WeakDem",2,1
2,31,1,3,3,2,1,1,31,"LessHS",3,"IndLeanDem",2,1
2,38,4,4,2,2,1,1,38,"CollegePlus",4,"WeakDem",2,1
2,35,4,4,2,3,1,1,35,"CollegePlus",4,"WeakDem",3,1
2,22,2,4,5,3,1,1,22,"HighSchool",4,"IndLeanRep",3,1
2,40,2,4,1,2,1,1,40,"HighSchool",4,"StrongDem",2,1
1,29,3,5,1,2,1,0,29,"SomeCollege",5,"StrongDem",2,1
2,0,2,1,6,3,1,1,0,"HighSchool",1,"WeakRep",3,1
2,44,2,4,2,2,1,1,44,"HighSchool",4,"WeakDem",2,1
2,45,2,3,1,3,1,1,45,"HighSchool",3,"StrongDem",3,1
2,73,2,1,7,3,1,1,73,"HighSchool",1,"StrongRep",3,1
2,45,4,4,6,3,1,1,45,"CollegePlus",4,"WeakRep",3,1
2,88,4,1,5,3,1,1,88,"CollegePlus",1,"IndLeanRep",3,1
2,75,1,1,2,1,1,1,75,"LessHS",1,"WeakDem",1,1
2,38,2,3,6,2,1,1,38,"HighSchool",3,"WeakRep",2,1
1,42,1,2,2,1,1,0,42,"LessHS",2,"WeakDem",1,1
2,66,2,2,7,2,1,1,66,"HighSchool",2,"StrongRep",2,1
2,45,1,3,3,3,1,1,45,"LessHS",3,"IndLeanDem",3,1
2,34,1,3,2,1,1,1,34,"LessHS",3,"WeakDem",1,1
2,29,4,4,2,1,1,1,29,"CollegePlus",4,"WeakDem",1,1
2,72,1,1,2,3,1,1,72,"LessHS",1,"WeakDem",3,1
2,72,1,1,7,3,1,1,72,"LessHS",1,"StrongRep",3,1
1,43,1,4,2,2,1,0,43,"LessHS",4,"WeakDem",2,1
2,57,2,4,7,2,1,1,57,"HighSchool",4,"StrongRep",2,1
2,42,2,1,1,1,1,1,42,"HighSchool",1,"StrongDem",1,1
2,25,2,4,7,3,1,1,25,"HighSchool",4,"StrongRep",3,1
2,46,3,5,7,3,1,1,46,"SomeCollege",5,"StrongRep",3,1
2,42,2,4,1,3,1,1,42,"HighSchool",4,"StrongDem",3,1
1,47,2,1,6,2,1,0,47,"HighSchool",1,"WeakRep",2,1
1,51,1,1,6,1,1,0,51,"LessHS",1,"WeakRep",1,1
2,23,2,4,5,2,1,1,23,"HighSchool",4,"IndLeanRep",2,1
2,40,2,2,6,1,1,1,40,"HighSchool",2,"WeakRep",1,1
2,85,2,3,1,1,1,1,85,"HighSchool",3,"StrongDem",1,1
2,31,1,4,2,1,1,1,31,"LessHS",4,"WeakDem",1,1
2,30,2,3,2,1,1,1,30,"HighSchool",3,"WeakDem",1,1
2,79,1,1,3,3,1,1,79,"LessHS",1,"IndLeanDem",3,1
2,28,2,2,2,3,1,1,28,"HighSchool",2,"WeakDem",3,1
2,30,2,4,6,2,1,1,30,"HighSchool",4,"WeakRep",2,1
2,27,2,4,5,2,1,1,27,"HighSchool",4,"IndLeanRep",2,1
2,47,1,2,1,3,1,1,47,"LessHS",2,"StrongDem",3,1
2,23,2,4,3,2,1,1,23,"HighSchool",4,"IndLeanDem",2,1
2,26,2,4,6,1,1,1,26,"HighSchool",4,"WeakRep",1,1
2,38,2,3,6,3,1,1,38,"HighSchool",3,"WeakRep",3,1
2,34,2,4,2,3,1,1,34,"HighSchool",4,"WeakDem",3,1
2,29,1,3,6,1,1,1,29,"LessHS",3,"WeakRep",1,1
2,39,2,4,4,2,1,1,39,"HighSchool",4,"Independent",2,1
2,57,1,1,7,0,1,1,57,"LessHS",1,"StrongRep",0,1
2,47,1,3,7,2,1,1,47,"LessHS",3,"StrongRep",2,1
2,70,1,1,1,2,1,1,70,"LessHS",1,"StrongDem",2,1
1,49,1,2,5,3,1,0,49,"LessHS",2,"IndLeanRep",3,1
2,53,1,4,2,3,1,1,53,"LessHS",4,"WeakDem",3,1
2,31,3,4,7,2,1,1,31,"SomeCollege",4,"StrongRep",2,1
2,62,1,1,6,2,1,1,62,"LessHS",1,"WeakRep",2,1
2,59,1,4,1,1,1,1,59,"LessHS",4,"StrongDem",1,1
2,41,2,4,1,3,1,1,41,"HighSchool",4,"StrongDem",3,1
2,44,1,4,6,3,1,1,44,"LessHS",4,"WeakRep",3,1
2,45,4,4,7,3,1,1,45,"CollegePlus",4,"StrongRep",3,1
2,40,3,4,7,3,1,1,40,"SomeCollege",4,"StrongRep",3,1
1,46,1,4,2,3,1,0,46,"LessHS",4,"WeakDem",3,1
2,71,2,1,2,1,1,1,71,"HighSchool",1,"WeakDem",1,1
2,34,2,5,4,3,1,1,34,"HighSchool",5,"Independent",3,1
2,41,1,3,2,1,1,1,41,"LessHS",3,"WeakDem",1,1
2,61,4,4,7,3,1,1,61,"CollegePlus",4,"StrongRep",3,1
1,33,1,4,6,1,1,0,33,"LessHS",4,"WeakRep",1,1
2,33,2,4,1,3,1,1,33,"HighSchool",4,"StrongDem",3,1
2,47,4,2,1,3,1,1,47,"CollegePlus",2,"StrongDem",3,1
2,24,4,4,1,3,1,1,24,"CollegePlus",4,"StrongDem",3,1
2,43,1,4,2,3,1,1,43,"LessHS",4,"WeakDem",3,1
1,49,2,3,3,1,1,0,49,"HighSchool",3,"IndLeanDem",1,1
2,28,2,4,1,2,1,1,28,"HighSchool",4,"StrongDem",2,1
1,23,3,4,2,2,1,0,23,"SomeCollege",4,"WeakDem",2,1
2,36,2,3,2,3,1,1,36,"HighSchool",3,"WeakDem",3,1
2,31,3,5,7,3,1,1,31,"SomeCollege",5,"StrongRep",3,1
2,39,1,2,1,3,1,1,39,"LessHS",2,"StrongDem",3,1
2,48,4,4,7,3,1,1,48,"CollegePlus",4,"StrongRep",3,1
1,36,2,4,4,2,1,0,36,"HighSchool",4,"Independent",2,1
2,39,4,4,4,3,1,1,39,"CollegePlus",4,"Independent",3,1
2,34,3,4,5,3,1,1,34,"SomeCollege",4,"IndLeanRep",3,1
2,31,2,2,4,2,1,1,31,"HighSchool",2,"Independent",2,1
1,30,2,4,2,1,1,0,30,"HighSchool",4,"WeakDem",1,1
1,54,2,4,2,3,1,0,54,"HighSchool",4,"WeakDem",3,1
2,54,1,3,2,2,1,1,54,"LessHS",3,"WeakDem",2,1
1,42,2,4,2,3,1,0,42,"HighSchool",4,"WeakDem",3,1
1,23,3,4,2,3,1,0,23,"SomeCollege",4,"WeakDem",3,1
2,64,4,5,5,3,1,1,64,"CollegePlus",5,"IndLeanRep",3,1
2,36,4,3,5,2,1,1,36,"CollegePlus",3,"IndLeanRep",2,1
1,68,1,1,1,0,1,0,68,"LessHS",1,"StrongDem",0,1
2,50,2,3,1,3,1,1,50,"HighSchool",3,"StrongDem",3,1
2,45,2,4,7,3,1,1,45,"HighSchool",4,"StrongRep",3,1
1,56,2,3,2,1,1,0,56,"HighSchool",3,"WeakDem",1,1
2,36,1,2,6,1,1,1,36,"LessHS",2,"WeakRep",1,1
2,28,2,2,1,2,1,1,28,"HighSchool",2,"StrongDem",2,1
2,46,2,4,5,3,1,1,46,"HighSchool",4,"IndLeanRep",3,1
2,71,1,5,6,2,1,1,71,"LessHS",5,"WeakRep",2,1
2,35,2,4,1,3,1,1,35,"HighSchool",4,"StrongDem",3,1
2,23,2,2,1,2,1,1,23,"HighSchool",2,"StrongDem",2,1
1,24,1,2,7,3,1,0,24,"LessHS",2,"StrongRep",3,1
2,56,2,4,6,2,1,1,56,"HighSchool",4,"WeakRep",2,1
1,76,1,1,2,2,1,0,76,"LessHS",1,"WeakDem",2,1
2,60,1,1,2,2,1,1,60,"LessHS",1,"WeakDem",2,1
2,29,2,4,1,1,1,1,29,"HighSchool",4,"StrongDem",1,1
2,47,1,4,5,1,1,1,47,"LessHS",4,"IndLeanRep",1,1
2,67,2,1,7,0,1,1,67,"HighSchool",1,"StrongRep",0,1
1,29,1,2,2,1,1,0,29,"LessHS",2,"WeakDem",1,1
2,35,3,4,3,3,1,1,35,"SomeCollege",4,"IndLeanDem",3,1
2,61,2,4,7,1,1,1,61,"HighSchool",4,"StrongRep",1,1
2,34,2,2,2,3,1,1,34,"HighSchool",2,"WeakDem",3,1
